teacher_id,employee_id,first_name,last_name,gender,dob,phone,email,subject_primary,subject_secondary,qualification,experience_years,joining_date,designation,assigned_classes,class_teacher_of,is_active
TCH0001,EMP/2009/3879,Laksh,Chatterjee,Male,1974-04-24,+91-8833702186,laksh.chatterjee393@school.edu.in,Accountancy,Chemistry,Ph.D.,16,2009-06-01,TGT,"6,1,10",,1
TCH0002,EMP/2020/1135,Radhika,Mehta,Female,1972-10-14,+91-7791208321,radhika.mehta895@school.edu.in,Art,Political Science,M.Com.,5,2020-06-07,TGT,"8,7",5-D,1
TCH0003,EMP/2008/3234,Aarav,Gupta,Male,1982-09-15,+91-9546879231,aarav.gupta292@school.edu.in,Economics,Political Science,B.A. B.Ed,17,2008-08-14,TGT,"8,1,7,2",,1
TCH0004,EMP/2002/5273,Rohan,Sinha,Male,1984-08-03,+91-9713532190,rohan.sinha987@school.edu.in,Hindi,Social Studies,M.Com.,23,2002-07-04,TGT,"6,7,11,12,1",,1
TCH0005,EMP/2012/9051,Aanya,Jadhav,Female,1986-05-09,+91-8734253410,aanya.jadhav210@school.edu.in,Physics,Economics,M.Sc.,13,2012-06-20,HOD,"10,9,6,1,5",1-C,1
TCH0006,EMP/2015/6622,Jiya,Bhandari,Female,1974-01-05,+91-7845472873,jiya.bhandari923@school.edu.in,Social Studies,Biology,B.A. B.Ed,10,2015-04-16,HOD,"6,8,2",1-B,1
TCH0007,EMP/2013/3825,Rudra,Thakur,Male,1989-07-28,+91-7850380007,rudra.thakur527@school.edu.in,Art,Mathematics,B.A. B.Ed,12,2013-05-17,PRT,"12,7,9",,1
TCH0008,EMP/2007/1310,Dhruv,Saxena,Male,1988-02-01,+91-7720665796,dhruv.saxena871@school.edu.in,Accountancy,Chemistry,M.Tech,18,2007-08-19,TGT,"2,10,4,1",,1
TCH0009,EMP/2014/6738,Diya,Shinde,Female,1981-07-25,+91-9016546154,diya.shinde913@school.edu.in,Art,Computer Science,B.A. B.Ed,11,2014-06-14,PGT,"12,7,4",11-C,1
TCH0010,EMP/2023/5007,Tanvi,Saxena,Female,1972-02-18,+91-9730205031,tanvi.saxena201@school.edu.in,Business Studies,Social Studies,Ph.D.,2,2023-07-22,TGT,"12,1,8,4,2",,1
TCH0011,EMP/2005/7774,Pihu,Ghosh,Female,1993-03-13,+91-9562668823,pihu.ghosh456@school.edu.in,Political Science,Economics,B.Ed,20,2005-08-20,HOD,"8,5,12,6,11",,1
TCH0012,EMP/2004/6802,Aditi,Shinde,Female,1992-04-15,+91-7671699325,aditi.shinde807@school.edu.in,Economics,History,B.Ed,21,2004-05-16,TGT,"9,8,5,1,10",,1
TCH0013,EMP/2002/6048,Avni,Ghosh,Female,1984-08-12,+91-9550003269,avni.ghosh91@school.edu.in,Accountancy,Mathematics,Ph.D.,23,2002-07-25,PGT,"1,10,11",1-A,1
TCH0014,EMP/2011/7527,Mira,Gupta,Female,1976-12-17,+91-9642503259,mira.gupta763@school.edu.in,Political Science,Geography,M.Com.,14,2011-06-08,TGT,"11,12,7,6",3-B,1
TCH0015,EMP/2020/1220,Parth,Chatterjee,Male,1992-01-09,+91-9013879315,parth.chatterjee876@school.edu.in,Hindi,Physics,M.Ed,5,2020-04-24,PGT,"10,11,6,7",10-D,1
TCH0016,EMP/2021/6214,Sai,Kapoor,Male,1981-04-24,+91-9047135605,sai.kapoor412@school.edu.in,Physics,Physical Education,M.Ed,4,2021-06-24,PGT,"7,2,9,12,8",,1
TCH0017,EMP/2012/7281,Lavanya,Sinha,Female,1982-03-23,+91-8712123688,lavanya.sinha759@school.edu.in,Political Science,Accountancy,M.A.,13,2012-06-13,TGT,"1,9,10,2",3-B,1
