timetable_id,class,section,day,period,start_time,end_time,subject,teacher_id,teacher_name,room_id,is_lab,academic_year
TT000001,1,A,Monday,1,07:30,08:10,Mathematics,TCH0025,Darsh Patel,Room-115,0,2025-26
TT000002,1,A,Monday,2,08:10,08:50,Social Studies,TCH0006,Jiya Bhandari,Room-301,0,2025-26
TT000003,1,A,Monday,3,08:50,09:30,English,TCH0070,Khushi Sinha,Room-111,0,2025-26
TT000004,1,A,Monday,4,09:45,10:25,Social Studies,TCH0079,Ishaan Chauhan,Room-G01,0,2025-26
TT000005,1,A,Monday,5,10:25,11:05,Hindi,TCH0063,Dhruv Mehta,Room-G15,0,2025-26
TT000006,1,A,Monday,6,11:05,11:45,Science,TCH0054,Yash Deshmukh,Room-304,0,2025-26
TT000007,1,A,Monday,7,12:00,12:40,Science,TCH0038,Kavya Thakur,Room-105,0,2025-26
TT000008,1,A,Monday,8,12:40,13:20,Science,TCH0040,Siddharth Deshpande,Room-103,0,2025-26
TT000009,1,A,Tuesday,1,07:30,08:10,Science,TCH0046,Ahana Mahajan,Room-G07,0,2025-26
TT000010,1,A,Tuesday,2,08:10,08:50,Science,TCH0024,Kabir Das,Room-G10,0,2025-26
TT000011,1,A,Tuesday,3,08:50,09:30,Mathematics,TCH0028,Gauri Deshpande,Room-215,0,2025-26
TT000012,1,A,Tuesday,4,09:45,10:25,Social Studies,TCH0036,Kartik Bhat,Room-101,0,2025-26
TT000013,1,A,Tuesday,5,10:25,11:05,Hindi,TCH0004,Rohan Sinha,Room-214,0,2025-26
TT000014,1,A,Tuesday,6,11:05,11:45,English,TCH0070,Khushi Sinha,Room-G02,0,2025-26
TT000015,1,A,Tuesday,7,12:00,12:40,Mathematics,TCH0026,Siya Malhotra,Room-106,0,2025-26
TT000016,1,A,Tuesday,8,12:40,13:20,Mathematics,TCH0026,Siya Malhotra,Room-109,0,2025-26
TT000017,1,A,Wednesday,1,07:30,08:10,English,TCH0070,Khushi Sinha,Room-307,0,2025-26
TT000018,1,A,Wednesday,2,08:10,08:50,English,TCH0070,Khushi Sinha,Room-211,0,2025-26
TT000019,1,A,Wednesday,3,08:50,09:30,Mathematics,TCH0043,Divya Sharma,Room-207,0,2025-26
TT000020,1,A,Wednesday,4,09:45,10:25,English,TCH0070,Khushi Sinha,Room-109,0,2025-26
TT000021,1,A,Wednesday,5,10:25,11:05,Computer Science,TCH0041,Vihaan Bhandari,Room-306,0,2025-26
TT000022,1,A,Wednesday,6,11:05,11:45,Computer Science,TCH0024,Kabir Das,Room-307,0,2025-26
TT000023,1,A,Wednesday,7,12:00,12:40,Social Studies,TCH0079,Ishaan Chauhan,Room-211,0,2025-26
TT000024,1,A,Wednesday,8,12:40,13:20,Mathematics,TCH0028,Gauri Deshpande,Room-301,0,2025-26
TT000025,1,A,Thursday,1,07:30,08:10,Physical Education,TCH0048,Kavya Sen,Room-G11,0,2025-26
TT000026,1,A,Thursday,2,08:10,08:50,Computer Science,TCH0057,Anika Bhosale,Room-212,0,2025-26
TT000027,1,A,Thursday,3,08:50,09:30,Computer Science,TCH0057,Anika Bhosale,Room-306,1,2025-26
TT000028,1,A,Thursday,4,09:45,10:25,Physical Education,TCH0048,Kavya Sen,Room-G13,0,2025-26
TT000029,1,A,Thursday,5,10:25,11:05,Science,TCH0062,Sahil Gaikwad,Room-210,0,2025-26
TT000030,1,A,Thursday,6,11:05,11:45,English,TCH0070,Khushi Sinha,Room-112,0,2025-26
TT000031,1,A,Thursday,7,12:00,12:40,Science,TCH0045,Avni Sen,Room-313,0,2025-26
TT000032,1,A,Thursday,8,12:40,13:20,Computer Science,TCH0024,Kabir Das,Room-G02,0,2025-26
